Year,State,Award Amount
2023,AL,19580755
2023,AR,4172821
2023,AZ,65703841
2023,CA,601364006
2023,CO,39835760
2023,CT,81888225
2023,DE,10095512
2023,FL,133832958
2023,GA,58200367
2023,IA,14055353
2023,ID,5954318
2023,IL,158201788
2023,IN,34356658
2023,KS,9577831
2023,KY,34759934
2023,LA,75666230
2023,MA,124913344
2023,MD,68928914
2023,ME,20850852
2023,MI,98368482
2023,MN,43510043
2023,MO,47682351
2023,MS,7786356
2023,MT,5501085
2023,NC,39868221
2023,ND,3423089
2023,NE,15957303
2023,NH,12838362
2023,NJ,59223277
2023,NM,16273415
2023,NV,21760709
2023,NY,303078527
2023,OH,153510589
2023,OK,14036516
2023,OR,60295011
2023,PA,147967483
2023,RI,15726763
2023,SC,14651136
2023,SD,3384448
2023,TN,35857296
2023,TX,161929269
2023,UT,15283338
2023,VA,38545915
2023,VT,6837769
2023,WA,110731811
2023,WI,43941442
2023,WV,12368832
2023,WY,1059135
2022,AL,16316728
2022,AR,3911243
2022,AZ,53597059
2022,CA,525839973
2022,CO,37141703
2022,CT,70582793
2022,DE,8901293
2022,FL,115822733
2022,GA,49860265
2022,IA,12141038
2022,ID,5387876
2022,IL,143772673
2022,IN,29982137
2022,KS,8699549
2022,KY,31298318
2022,LA,66387990
2022,MA,110496896
2022,MD,61794130
2022,ME,19013800
2022,MI,89810287
2022,MN,38355825
2022,MO,43689722
2022,MS,6512419
2022,MT,4731872
2022,NC,37105325
2022,ND,2109161
2022,NE,12945245
2022,NH,9502752
2022,NJ,54689915
2022,NM,14533641
2022,NV,19692215
2022,NY,268337527
2022,OH,135250056
2022,OK,11186307
2022,OR,49970799
2022,PA,132510492
2022,RI,11463583
2022,SC,13457637
2022,SD,1433360
2022,TN,27094890
2022,TX,133898634
2022,UT,13854170
2022,VA,35123652
2022,VT,6201820
2022,WA,96990354
2022,WI,32410685
2022,WV,9755284
2022,WY,816329
2021,AK,4738933
2021,AL,18221915
2021,AR,4205141
