"Total Beds ES, TH, PSH",State,Year
4490,AL,2023
3036,AR,2023
17292,AZ,2023
145566,CA,2023
15755,CO,2023
9803,CT,2023
2056,DE,2023
36277,FL,2023
15984,GA,2023
3752,IA,2023
2584,ID,2023
25144,IL,2023
10485,IN,2023
3570,KS,2023
7246,KY,2023
8166,LA,2023
28701,MA,2023
13855,MD,2023
6485,ME,2023
17543,MI,2023
16070,MN,2023
11809,MO,2023
1530,MS,2023
2692,MT,2023
13617,NC,2023
1291,ND,2023
4070,NE,2023
3814,NH,2023
13189,NJ,2023
7389,NM,2023
7545,NV,2023
155181,NY,2023
28482,OH,2023
5183,OK,2023
16500,OR,2023
25307,PA,2023
2467,RI,2023
5028,SC,2023
1763,SD,2023
9481,TN,2023
37089,TX,2023
5962,UT,2023
10214,VA,2023
3187,VT,2023
31407,WA,2023
8475,WI,2023
2341,WV,2023
1137,WY,2023
5090,AL,2022
3080,AR,2022
15059,AZ,2022
140059,CA,2022
15831,CO,2022
9833,CT,2022
2054,DE,2022
35549,FL,2022
15593,GA,2022
3520,IA,2022
2771,ID,2022
24246,IL,2022
10177,IN,2022
3627,KS,2022
6834,KY,2022
12013,LA,2022
28071,MA,2022
14045,MD,2022
7205,ME,2022
17392,MI,2022
19141,MN,2022
11405,MO,2022
1226,MS,2022
2895,MT,2022
13429,NC,2022
1384,ND,2022
4005,NE,2022
3012,NH,2022
14686,NJ,2022
5196,NM,2022
6969,NV,2022
125353,NY,2022
28102,OH,2022
5103,OK,2022
15460,OR,2022
25205,PA,2022
2241,RI,2022
4990,SC,2022
1715,SD,2022
9240,TN,2022
35481,TX,2022
6002,UT,2022
10563,VA,2022
1411,VT,2022
30498,WA,2022
8750,WI,2022
2683,WV,2022
1113,WY,2022
5179,AL,2021
3378,AR,2021
14772,AZ,2021
129893,CA,2021
15054,CO,2021
9942,CT,2021
1581,DE,2021
34552,FL,2021
15845,GA,2021
3602,IA,2021
2597,ID,2021
23783,IL,2021
9510,IN,2021
3730,KS,2021
6529,KY,2021
7814,LA,2021
27275,MA,2021
13546,MD,2021
5187,ME,2021
17593,MI,2021
18899,MN,2021
11064,MO,2021
1416,MS,2021
2617,MT,2021
13475,NC,2021
1354,ND,2021
3789,NE,2021
2998,NH,2021
13231,NJ,2021
5489,NM,2021
6553,NV,2021
130959,NY,2021
27376,OH,2021
4371,OK,2021
13262,OR,2021
24721,PA,2021
2177,RI,2021
4949,SC,2021
1811,SD,2021
9805,TN,2021
32879,TX,2021
5993,UT,2021
10907,VA,2021
1316,VT,2021
26389,WA,2021
8494,WI,2021
2579,WV,2021
1024,WY,2021
6153,AL,2020
2726,AR,2020
14705,AZ,2020
118873,CA,2020
13343,CO,2020
9857,CT,2020
1696,DE,2020
35416,FL,2020
15631,GA,2020
3602,IA,2020
2484,ID,2020
24265,IL,2020
9976,IN,2020
4242,KS,2020
6509,KY,2020
7905,LA,2020
30075,MA,2020
13086,MD,2020
4737,ME,2020
17936,MI,2020
17759,MN,2020
11579,MO,2020
1872,MS,2020
2292,MT,2020
14082,NC,2020
1484,ND,2020
3990,NE,2020
2670,NH,2020
14722,NJ,2020
4449,NM,2020
6075,NV,2020
135709,NY,2020
27285,OH,2020
4935,OK,2020
13586,OR,2020
25706,PA,2020
2230,RI,2020
5160,SC,2020
1836,SD,2020
9498,TN,2020
32779,TX,2020
5984,UT,2020
9586,VA,2020
1373,VT,2020
26937,WA,2020
7993,WI,2020
2671,WV,2020
1014,WY,2020
5833,AL,2019
3108,AR,2019
15738,AZ,2019
111394,CA,2019
12995,CO,2019
9843,CT,2019
1918,DE,2019
36947,FL,2019
15699,GA,2019
3530,IA,2019
2375,ID,2019
24609,IL,2019
9621,IN,2019
4067,KS,2019
6277,KY,2019
8321,LA,2019
29968,MA,2019
12582,MD,2019
4771,ME,2019
19603,MI,2019
17311,MN,2019
11661,MO,2019
1755,MS,2019
2253,MT,2019
13781,NC,2019
1237,ND,2019
3809,NE,2019
2447,NH,2019
13942,NJ,2019
4674,NM,2019
6270,NV,2019
134038,NY,2019
27105,OH,2019
5129,OK,2019
14851,OR,2019
25080,PA,2019
2470,RI,2019
5125,SC,2019
